station_complex,year,month,day_type,ridership
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-11-01,2,244985
"59 St-Columbus Circle (A,B,C,D,1)",2020,2020-08-01,2,79048
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-01-01,2,172621
Flushing-Main St (7),2023,2023-09-01,2,257536
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-06-01,2,385963
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-06-01,2,162778
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2020,2020-10-01,2,146728
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2020,2020-09-01,2,115966
Flushing-Main St (7),2024,2024-04-01,2,238287
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-07-01,2,232816
"Grand Central-42 St (S,4,5,6,7)",2021,2021-07-01,2,234257
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-03-01,2,220529
"59 St-Columbus Circle (A,B,C,D,1)",2023,2023-11-01,2,296852
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-11-01,2,261637
"34 St-Penn Station (A,C,E)",2022,2022-04-01,2,246584
"34 St-Penn Station (1,2,3)",2021,2021-09-01,2,180556
"34 St-Penn Station (1,2,3)",2020,2020-12-01,2,85180
Flushing-Main St (7),2020,2020-11-01,2,129255
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2020,2020-09-01,2,27876
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-03-01,2,330729
Flushing-Main St (7),2023,2023-01-01,2,221580
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2022,2022-06-01,2,208928
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-03-01,2,165254
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-01-01,2,167746
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-11-01,2,96687
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-04-01,2,120991
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-02-01,2,219162
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2023,2023-11-01,2,262773
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-05-01,2,332934
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-11-01,2,370764
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-08-01,2,433816
"Grand Central-42 St (S,4,5,6,7)",2022,2022-02-01,2,221638
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-10-01,2,304028
"34 St-Penn Station (A,C,E)",2022,2022-12-01,2,269567
"34 St-Penn Station (1,2,3)",2021,2021-10-01,2,244892
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-11-01,2,319949
"Grand Central-42 St (S,4,5,6,7)",2021,2021-11-01,2,276945
"34 St-Penn Station (1,2,3)",2022,2022-08-01,2,209713
Flushing-Main St (7),2021,2021-04-01,2,97885
"Grand Central-42 St (S,4,5,6,7)",2021,2021-04-01,2,128131
"59 St-Columbus Circle (A,B,C,D,1)",2024,2024-08-01,2,264747
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2024,2024-08-01,2,261638
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-10-01,2,839752
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-10-01,2,415466
"34 St-Penn Station (A,C,E)",2021,2021-09-01,2,188179
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-05-01,2,783248
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-06-01,2,151484
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-01-01,2,219494
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-06-01,2,751405
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-12-01,2,185634
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-05-01,2,56164
"Grand Central-42 St (S,4,5,6,7)",2021,2021-03-01,2,110410
"59 St-Columbus Circle (A,B,C,D,1)",2020,2020-07-01,2,55622
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2020,2020-07-01,2,94265
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2024,2024-01-01,2,103377
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-01-01,2,241164
"34 St-Penn Station (A,C,E)",2023,2023-04-01,2,301020
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-01-01,2,345647
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-04-01,2,384007
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-05-01,2,214075
"34 St-Penn Station (A,C,E)",2021,2021-11-01,2,251528
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-11-01,2,597634
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-03-01,2,525325
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-12-01,2,72906
"34 St-Penn Station (A,C,E)",2022,2022-11-01,2,282010
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-09-01,2,196846
"34 St-Penn Station (1,2,3)",2022,2022-05-01,2,254375
"59 St-Columbus Circle (A,B,C,D,1)",2021,2021-11-01,2,228399
Flushing-Main St (7),2022,2022-08-01,2,199489
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-01-01,2,223899
"Grand Central-42 St (S,4,5,6,7)",2023,2023-04-01,2,467153
"59 St-Columbus Circle (A,B,C,D,1)",2022,2022-09-01,2,231009
"47-50 Sts-Rockefeller Ctr (B,D,F,M)",2021,2021-11-01,2,106268
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",2021,2021-11-01,2,197186
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2021,2021-02-01,2,140442
Flushing-Main St (7),2021,2021-02-01,2,106843
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-12-01,2,164237
"34 St-Penn Station (1,2,3)",2020,2020-11-01,2,99708
Flushing-Main St (7),2020,2020-09-01,2,111561
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-07-01,2,84920
