station_complex,year,month,day_type,ridership
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-12-01,1,1118177
"34 St-Penn Station (A,C,E)",2024,2024-10-01,1,1164517
"34 St-Penn Station (A,C,E)",2022,2022-03-01,1,1010917
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-12-01,1,2874963
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-12-01,1,1339906
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-04-01,1,1514448
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-01-01,1,1556243
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-05-01,1,3056714
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-03-01,1,1466291
"Fulton St (A,C,J,Z,2,3,4,5)",2020,2020-09-01,1,424023
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2020,2020-09-01,1,636208
"Fulton St (A,C,J,Z,2,3,4,5)",2024,2024-06-01,1,1231161
"Grand Central-42 St (S,4,5,6,7)",2022,2022-03-01,1,1616515
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2020,2020-07-01,1,404316
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-03-01,1,1645875
"34 St-Penn Station (A,C,E)",2023,2023-03-01,1,1157125
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-03-01,1,2931093
"Grand Central-42 St (S,4,5,6,7)",2023,2023-07-01,1,2077851
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-01-01,1,2462465
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-12-01,1,901368
"34 St-Penn Station (A,C,E)",2021,2021-01-01,1,365886
"34 St-Penn Station (A,C,E)",2024,2024-08-01,1,1168821
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-02-01,1,1230527
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2020,2020-12-01,1,965850
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2024,2024-01-01,1,1399883
"34 St-Penn Station (A,C,E)",2023,2023-06-01,1,1152827
"Grand Central-42 St (S,4,5,6,7)",2023,2023-01-01,1,1869090
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2024,2024-03-01,1,1590592
"34 St-Penn Station (A,C,E)",2021,2021-11-01,1,936519
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-05-01,1,1260698
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-01-01,1,364871
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-01-01,1,872408
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-10-01,1,1366418
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-05-01,1,727000
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-06-01,1,1395838
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-11-01,1,1111671
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-10-01,1,2550471
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-01-01,1,1438084
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2022,2022-05-01,1,1410188
"Grand Central-42 St (S,4,5,6,7)",2022,2022-05-01,1,1602882
"34 St-Penn Station (A,C,E)",2024,2024-03-01,1,1208213
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-08-01,1,1162977
"Grand Central-42 St (S,4,5,6,7)",2024,2024-06-01,1,2202551
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2023,2023-06-01,1,2953253
"Grand Central-42 St (S,4,5,6,7)",2021,2021-07-01,1,1082321
"34 St-Penn Station (A,C,E)",2023,2023-10-01,1,1263263
"Fulton St (A,C,J,Z,2,3,4,5)",2023,2023-09-01,1,1260465
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2023,2023-04-01,1,1330794
"34 St-Penn Station (A,C,E)",2022,2022-05-01,1,970689
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2024,2024-10-01,1,2763018
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-10-01,1,1992386
"Fulton St (A,C,J,Z,2,3,4,5)",2021,2021-11-01,1,932551
"Grand Central-42 St (S,4,5,6,7)",2022,2022-08-01,1,1731603
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2021,2021-08-01,1,1694314
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2021,2021-12-01,1,1128632
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",2022,2022-07-01,1,1059207
"Grand Central-42 St (S,4,5,6,7)",2022,2022-02-01,1,1182706
"Fulton St (A,C,J,Z,2,3,4,5)",2022,2022-01-01,1,657670
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",2023,2023-11-01,1,1647475
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",2022,2022-09-01,1,2568091
"34 St-Penn Station (A,C,E)",2024,2024-06-01,1,1135079
"34 St-Penn Station (A,C,E)",2023,2023-04-01,1,1014848
