station_complex,month,day_type,ridership,lines
"125 St (2,3)",11,weekend,45752.5,"2,3"
"125 St (2,3)",12,weekday,170302.0,"2,3"
"125 St (2,3)",12,weekend,52606.5,"2,3"
"125 St (4,5,6)",1,weekday,301290.3333333333,"4,5,6"
"125 St (4,5,6)",1,weekend,58510.0,"4,5,6"
"125 St (4,5,6)",2,weekday,295876.0,"4,5,6"
"125 St (4,5,6)",2,weekend,57213.666666666664,"4,5,6"
"125 St (4,5,6)",3,weekday,356310.0,"4,5,6"
"125 St (4,5,6)",3,weekend,69001.66666666667,"4,5,6"
"125 St (4,5,6)",4,weekday,344956.0,"4,5,6"
"125 St (4,5,6)",4,weekend,80370.0,"4,5,6"
"125 St (4,5,6)",5,weekday,382580.6666666667,"4,5,6"
"125 St (4,5,6)",5,weekend,75931.0,"4,5,6"
"125 St (4,5,6)",6,weekday,339262.6666666667,"4,5,6"
"125 St (4,5,6)",6,weekend,85600.66666666667,"4,5,6"
"125 St (4,5,6)",7,weekday,314266.3333333333,"4,5,6"
"125 St (4,5,6)",7,weekend,85007.33333333333,"4,5,6"
"125 St (4,5,6)",8,weekday,327428.0,"4,5,6"
"125 St (4,5,6)",8,weekend,79186.0,"4,5,6"
"125 St (4,5,6)",9,weekday,343868.6666666667,"4,5,6"
"125 St (4,5,6)",9,weekend,86523.66666666667,"4,5,6"
"125 St (4,5,6)",10,weekday,351999.6666666667,"4,5,6"
"125 St (4,5,6)",10,weekend,82821.0,"4,5,6"
"125 St (4,5,6)",11,weekday,334763.5,"4,5,6"
"125 St (4,5,6)",11,weekend,68976.0,"4,5,6"
"125 St (4,5,6)",12,weekday,299883.0,"4,5,6"
"125 St (4,5,6)",12,weekend,69416.5,"4,5,6"
"125 St (A,C,B,D)",1,weekday,338195.6666666667,"A,C,B,D"
"125 St (A,C,B,D)",1,weekend,78562.0,"A,C,B,D"
"125 St (A,C,B,D)",2,weekday,337502.3333333333,"A,C,B,D"
"125 St (A,C,B,D)",2,weekend,80121.66666666667,"A,C,B,D"
"125 St (A,C,B,D)",3,weekday,398860.0,"A,C,B,D"
"125 St (A,C,B,D)",3,weekend,90394.33333333333,"A,C,B,D"
"125 St (A,C,B,D)",4,weekday,366730.6666666667,"A,C,B,D"
"125 St (A,C,B,D)",4,weekend,103606.66666666667,"A,C,B,D"
"125 St (A,C,B,D)",5,weekday,413259.0,"A,C,B,D"
"125 St (A,C,B,D)",5,weekend,93405.0,"A,C,B,D"
"125 St (A,C,B,D)",6,weekday,378554.0,"A,C,B,D"
"125 St (A,C,B,D)",6,weekend,99438.66666666667,"A,C,B,D"
"125 St (A,C,B,D)",7,weekday,343942.0,"A,C,B,D"
"125 St (A,C,B,D)",7,weekend,97596.0,"A,C,B,D"
"125 St (A,C,B,D)",8,weekday,359263.3333333333,"A,C,B,D"
"125 St (A,C,B,D)",8,weekend,89823.66666666667,"A,C,B,D"
"125 St (A,C,B,D)",9,weekday,377696.0,"A,C,B,D"
"125 St (A,C,B,D)",9,weekend,93385.33333333333,"A,C,B,D"
"125 St (A,C,B,D)",10,weekday,390302.6666666667,"A,C,B,D"
"125 St (A,C,B,D)",10,weekend,104808.33333333333,"A,C,B,D"
"125 St (A,C,B,D)",11,weekday,378162.5,"A,C,B,D"
"125 St (A,C,B,D)",11,weekend,84047.5,"A,C,B,D"
"125 St (A,C,B,D)",12,weekday,352171.5,"A,C,B,D"
"125 St (A,C,B,D)",12,weekend,98428.0,"A,C,B,D"
"135 St (2,3)",1,weekday,141872.0,"2,3"
"135 St (2,3)",1,weekend,31058.666666666668,"2,3"
"135 St (2,3)",2,weekday,141365.66666666666,"2,3"
"135 St (2,3)",2,weekend,31306.333333333332,"2,3"
"135 St (2,3)",3,weekday,169121.0,"2,3"
"135 St (2,3)",3,weekend,32586.666666666668,"2,3"
"135 St (2,3)",4,weekday,151171.66666666666,"2,3"
"135 St (2,3)",4,weekend,36718.666666666664,"2,3"
